id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code
6807,05AK,small_airport,Wasilla Creek Airpark,61.66830063,-149.1880035,620,US-AK,Palmer,yes,,,05AK,05AK
7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12,US-AK,Nunapitchuk,yes,PPIT,NUP,PPIT,16A
8638,1RL,small_airport,Point Roberts Airpark,48.977316,-123.079294,10,US-WA,Point Roberts,yes,,,K1RL,1RL
9819,2U7,small_airport,Stanley Airport,44.2085,-114.934998,6403,US-ID,Stanley,yes,,,,2U7
9850,2WA3,small_airport,Stuart Island West Airport,48.683991,-123.222849,200,US-WA,Friday Harbor,yes,,,2WA3,2WA3
10309,38WA,small_airport,Blakely Island Airport,48.579162,-122.823844,66,US-WA,Blakely Island,yes,,BYW,38WA,38WA
11318,4A2,small_airport,Atmautluak Airport,60.866699,-162.272996,17,US-AK,Atmautluak,yes,,ATT,,4A2
11485,4K0,small_airport,Pedro Bay Airport,59.796925,-154.129994,45,US-AK,Pedro Bay,yes,,PDB,4K0,4K0
11487,4K5,small_airport,Ouzinkie Airport,57.942094,-152.464314,55,US-AK,Ouzinkie,yes,,KOZ,,4K5
11488,4KA,small_airport,Tununak Airport,60.569638,-165.246649,14,US-AK,Tununak,yes,,TNK,POKA,4KA
11900,51Z,small_airport,Minto Al Wright Airport,65.147991,-149.368658,460,US-AK,Minto,yes,,MNT,,51Z
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66,US-AK,Aleknagik,yes,,WKK,5A8,5A8
13634,6Y8,small_airport,Welke Airport,45.720503,-85.518866,664,US-MI,Beaver Island,yes,,,6Y8,6Y8
13997,78WA,small_airport,Center Island Airport,48.490046,-122.831612,115,US-WA,Center Island,yes,,CWS,78WA,78WA
14173,7KA,small_airport,Tatitlek Airport,60.871449,-146.690297,62,US-AK,Tatitlek,yes,PAKA,TEK,PAKA,7KA
14453,7WA5,small_airport,Stuart Island Airpark,48.673379,-123.175439,10,US-WA,Friday Harbor,yes,,SSW,7WA5,7WA5
14820,89D,small_airport,Kelleys Island Land Field,41.60296,-82.687054,598,US-OH,Kelleys Island,yes,,,89D,89D
14843,89TE,small_airport,Lajitas International Airport,29.278,-103.686997,2630,US-TX,Lajitas,yes,,,KT89,T89
15300,90WA,small_airport,Waldron Airstrip,48.71141,-123.018208,140,US-WA,Eastsound,yes,,WDN,90WA,90WA
15640,9A3,small_airport,Chuathbaluk Airport,61.579102,-159.216003,244,US-AK,Chuathbaluk,yes,PACH,CHU,PACH,9A3
16082,A61,small_airport,Tuntutuliak Airport,60.351243,-162.654476,16,US-AK,Tuntutuliak,yes,,WTL,A61,A61
16083,A63,small_airport,Twin Hills Airport,59.074713,-160.274992,82,US-AK,Twin Hills,yes,,TWA,A63,A63
16089,A79,small_airport,Chignik Lake Airport,56.255001,-158.774994,50,US-AK,Chignik Lake,yes,,KCQ,A79,A79
16716,CJX,small_airport,Crooked Creek Airport,61.870315,-158.137636,178,US-AK,Crooked Creek,yes,PACJ,CKD,PACJ,CJX
16718,CKX,small_airport,Chicken Airport,64.066495,-141.951342,1640,US-AK,Chicken,yes,,CKX,CKX,CKX
17597,GNU,small_airport,Goodnews Airport,59.117561,-161.575241,15,US-AK,Goodnews,yes,,GNU,GNU,GNU
18945,K61B,medium_airport,Boulder City Municipal Airport,35.947161,-114.858799,2201,US-NV,Boulder City,yes,KBVU,BLD,KBVU,BVU
19030,K74S,small_airport,Anacortes Airport,48.498513,-122.662513,241,US-WA,Anacortes,yes,,OTS,K74S,74S
3356,KABE,medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,393,US-PA,Allentown/Bethlehem,yes,KABE,ABE,KABE,ABE
3357,KABI,medium_airport,Abilene Regional Airport,32.4113006592,-99.68190002440001,1791,US-TX,Abilene,yes,KABI,ABI,KABI,ABI
16091,KABQ,large_airport,Albuquerque International Sunport,35.039976,-106.608925,5355,US-NM,Albuquerque,yes,KABQ,ABQ,KABQ,ABQ
3358,KABR,medium_airport,Aberdeen Regional Airport,45.449100494384766,-98.42179870605469,1302,US-SD,Aberdeen,yes,KABR,ABR,KABR,ABR
3359,KABY,medium_airport,Southwest Georgia Regional Airport,31.532946,-84.196215,197,US-GA,Albany,yes,KABY,ABY,KABY,ABY
3360,KACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47,US-MA,Nantucket,yes,KACK,ACK,KACK,ACK
3361,KACT,medium_airport,Waco Regional Airport,31.611299514770508,-97.23049926757812,516,US-TX,Waco,yes,KACT,ACT,KACT,ACT
3362,KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221,US-CA,Arcata/Eureka,yes,KACV,ACV,KACV,ACV
3363,KACY,medium_airport,Atlantic City International Airport,39.456201,-74.577511,75,US-NJ,Atlantic City,yes,KACY,ACY,KACY,ACY
3365,KAEX,medium_airport,Alexandria International Airport,31.325828,-92.546702,89,US-LA,Alexandria,yes,KAEX,AEX,KAEX,AEX
3368,KAGS,medium_airport,Augusta Regional At Bush Field,33.3699,-81.9645,144,US-GA,Augusta,yes,KAGS,AGS,KAGS,AGS
19257,KAIA,medium_airport,Alliance Municipal Airport,42.052543,-102.803965,3931,US-NE,Alliance,yes,KAIA,AIA,KAIA,AIA
3371,KALB,large_airport,Albany International Airport,42.748299,-73.801697,285,US-NY,Albany,yes,KALB,ALB,KALB,ALB
3375,KALO,medium_airport,Waterloo Regional Airport,42.557098388671875,-92.40029907226562,873,US-IA,Waterloo,yes,KALO,ALO,KALO,ALO
19275,KALS,medium_airport,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,7539,US-CO,Alamosa,yes,KALS,ALS,KALS,ALS
3376,KALW,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,1194,US-WA,Walla Walla,yes,KALW,ALW,KALW,ALW
3377,KAMA,medium_airport,Rick Husband Amarillo International Airport,35.217857,-101.706444,3607,US-TX,Amarillo,yes,KAMA,AMA,KAMA,AMA
3380,KAOO,medium_airport,Altoona Blair County Airport,40.296398,-78.32,1503,US-PA,Altoona,yes,KAOO,AOO,KAOO,AOO
3382,KAPN,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690,US-MI,Alpena,yes,KAPN,APN,KAPN,APN
3383,KART,medium_airport,Watertown International Airport,43.991901,-76.021698,325,US-NY,Watertown,yes,KART,ART,KART,ART
19308,KASE,medium_airport,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,7820,US-CO,Aspen,yes,KASE,ASE,KASE,ASE
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,US-GA,Atlanta,yes,KATL,ATL,KATL,ATL
19320,KATW,medium_airport,Appleton International Airport,44.258515,-88.519,918,US-WI,Appleton,yes,KATW,ATW,KATW,ATW
3385,KATY,medium_airport,Watertown Regional Airport,44.91400146,-97.15470123,1749,US-SD,Watertown,yes,KATY,ATY,KATY,ATY
19321,KAUG,medium_airport,Augusta State Airport,44.320598602299995,-69.7973022461,352,US-ME,Augusta,yes,KAUG,AUG,KAUG,AUG
3386,KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,542,US-TX,Austin,yes,KAUS,AUS,KAUS,AUS
3387,KAVL,medium_airport,Asheville Regional Airport,35.435488,-82.541853,2165,US-NC,Asheville,yes,KAVL,AVL,KAVL,AVL
3388,KAVP,medium_airport,Wilkes-Barre/Scranton International Airport,41.337064,-75.724232,962,US-PA,Wilkes-Barre/Scranton,yes,KAVP,AVP,KAVP,AVP
19334,KAWO,medium_airport,Arlington Municipal Airport,48.161448,-122.158442,142,US-WA,Arlington,yes,KAWO,,KAWO,AWO
3390,KAZO,medium_airport,Kalamazoo/Battle Creek International Airport,42.232105,-85.549637,874,US-MI,Kalamazoo,yes,KAZO,AZO,KAZO,AZO
45961,KBBG,medium_airport,Branson Airport,36.532082,-93.200544,1302,US-MO,Branson,yes,KBBG,BKG,KBBG,BBG
3396,KBDL,large_airport,Bradley International Airport,41.938555,-72.688016,173,US-CT,Hartford,yes,KBDL,BDL,KBDL,BDL
3398,KBED,medium_airport,Laurence G Hanscom Field,42.470001,-71.289001,133,US-MA,Bedford,yes,KBED,BED,KBED,BED
3399,KBFD,medium_airport,Bradford Regional Airport,41.8031005859375,-78.64009857177734,2143,US-PA,Bradford,yes,KBFD,BFD,KBFD,BFD
3400,KBFF,medium_airport,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,3967,US-NE,Scottsbluff,yes,KBFF,BFF,KBFF,BFF
3401,KBFI,medium_airport,King County International Airport - Boeing Field,47.527042,-122.29995,21,US-WA,Seattle,yes,KBFI,BFI,KBFI,BFI
3402,KBFL,medium_airport,Meadows Field,35.433601,-119.056999,510,US-CA,Bakersfield,yes,KBFL,BFL,KBFL,BFL
3404,KBGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636,US-NY,Binghamton,yes,KBGM,BGM,KBGM,BGM
3405,KBGR,medium_airport,Bangor International Airport,44.806364,-68.826668,192,US-ME,Bangor,yes,KBGR,BGR,KBGR,BGR
19373,KBHB,medium_airport,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,83,US-ME,Bar Harbor,yes,KBHB,BHB,KBHB,BHB
3406,KBHM,large_airport,Birmingham-Shuttlesworth International Airport,33.562877,-86.750712,650,US-AL,Birmingham,yes,KBHM,BHM,KBHM,BHM
16500,KBID,small_airport,Block Island State Airport,41.168446,-71.578631,108,US-RI,Block Island,yes,KBID,BID,KBID,BID
19377,KBIH,medium_airport,Eastern Sierra Regional Airport,37.3731,-118.363998,4124,US-CA,Bishop,yes,KBIH,BIH,KBIH,BIH
3408,KBIL,medium_airport,Billings Logan International Airport,45.808932,-108.541242,3652,US-MT,Billings,yes,KBIL,BIL,KBIL,BIL
3409,KBIS,medium_airport,Bismarck Municipal Airport,46.772734,-100.746874,1661,US-ND,Bismarck,yes,KBIS,BIS,KBIS,BIS
3411,KBJC,medium_airport,Rocky Mountain Metropolitan Airport,39.908798,-105.116997,5673,US-CO,Denver,yes,KBJC,BJC,KBJC,BJC
3415,KBKW,medium_airport,Raleigh County Memorial Airport,37.7873,-81.124199,2504,US-WV,Beaver,yes,KBKW,BKW,KBKW,BKW
3416,KBLI,medium_airport,Bellingham International Airport,48.79280090332031,-122.53800201416016,170,US-WA,Bellingham,yes,KBLI,BLI,KBLI,BLI
3417,KBLV,medium_airport,Scott AFB/Midamerica Airport,38.5452,-89.835197,459,US-IL,Belleville,yes,KBLV,BLV,KBLV,BLV
3419,KBMI,medium_airport,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,871,US-IL,Bloomington/Normal,yes,KBMI,BMI,KBMI,BMI
3420,KBNA,large_airport,Nashville International Airport,36.1245,-86.6782,599,US-TN,Nashville,yes,KBNA,BNA,KBNA,BNA
3421,KBOI,large_airport,Boise Air Terminal/Gowen Field,43.5644,-116.223,2871,US-ID,Boise,yes,KBOI,BOI,KBOI,BOI
3422,KBOS,large_airport,Boston Logan International Airport,42.36197,-71.0079,20,US-MA,Boston,yes,KBOS,BOS,KBOS,BOS
3423,KBPT,medium_airport,Jack Brooks Regional Airport,29.9508,-94.020699,15,US-TX,Beaumont/Port Arthur,yes,KBPT,BPT,KBPT,BPT
3424,KBQK,medium_airport,Brunswick Golden Isles Airport,31.258801,-81.466499,26,US-GA,Brunswick,yes,KBQK,BQK,KBQK,BQK
19406,KBRD,medium_airport,Brainerd Lakes Regional Airport,46.402861,-94.129727,1232,US-MN,Brainerd,yes,KBRD,BRD,KBRD,BRD
3425,KBRL,medium_airport,Southeast Iowa Regional Airport,40.783199310302734,-91.12550354003906,698,US-IA,Burlington,yes,KBRL,BRL,KBRL,BRL
3426,KBRO,medium_airport,Brownsville South Padre Island International Airport,25.907238,-97.425235,22,US-TX,Brownsville,yes,KBRO,BRO,KBRO,BRO
3428,KBTM,medium_airport,Bert Mooney Airport,45.95479965209961,-112.49700164794922,5550,US-MT,Butte,yes,KBTM,BTM,KBTM,BTM
