airline,source,dest,stops
2O,ADQ,KLN,0
2O,ADQ,KOZ,0
2O,ADQ,OLH,0
2O,KLN,KYK,0
2O,KOZ,ORI,0
3E,BRL,ORD,0
3E,BRL,STL,0
3E,DEC,ORD,0
3E,DEC,STL,0
3E,JBR,STL,0
3E,ORD,BRL,0
3E,ORD,DEC,0
3E,STL,BRL,0
3E,STL,DEC,0
3E,STL,JBR,0
3M,ATL,LWB,0
3M,ATL,MCN,0
3M,ATL,MEI,0
3M,ATL,MSL,0
3M,ATL,PIB,0
3M,ATL,TUP,0
3M,EYW,FLL,0
3M,EYW,RSW,0
3M,EYW,TPA,0
3M,FLL,BIM,0
3M,FLL,ELH,0
3M,FLL,EYW,0
3M,FLL,FPO,0
3M,FLL,GGT,0
3M,FLL,GHB,0
3M,FLL,MCO,0
3M,FLL,MHH,0
3M,FLL,TCB,0
3M,FLL,TPA,0
3M,GLH,TUP,0
3M,GNV,MCO,0
3M,GNV,TPA,0
3M,JAX,MHH,0
3M,JAX,TPA,0
3M,LWB,ATL,0
3M,MCN,ATL,0
3M,MCN,MCO,0
3M,MCO,FLL,0
3M,MCO,GNV,0
3M,MCO,MCN,0
3M,MCO,MHH,0
3M,MCO,PNS,0
3M,MCO,RSW,0
3M,MCO,TLH,0
3M,MEI,ATL,0
3M,MSL,ATL,0
3M,PIB,ATL,0
3M,PNS,MCO,0
3M,PNS,TPA,0
3M,RSW,EYW,0
3M,RSW,MCO,0
3M,TLH,MCO,0
3M,TLH,TPA,0
3M,TPA,EYW,0
3M,TPA,FLL,0
3M,TPA,GNV,0
3M,TPA,JAX,0
3M,TPA,PNS,0
3M,TPA,TLH,0
3M,TUP,ATL,0
3M,TUP,GLH,0
4B,LAS,LAX,0
4B,LAX,LAS,0
4E,MCG,NIB,0
4E,MCG,TCT,0
4E,NIB,MCG,0
4E,TCT,TLJ,0
4M,DFW,EZE,0
4M,JFK,EZE,0
4M,MIA,EZE,0
4M,MIA,PUJ,0
4O,JFK,MEX,0
4O,LAS,MTY,0
4O,LAS,TLC,0
4O,MIA,MEX,0
4O,SAT,GDL,0
4O,SAT,MEX,0
4O,SAT,MTY,0
4O,SAT,TLC,0
4O,SNA,GDL,0
4O,SNA,MEX,0
4W,AKP,FAI,0
4W,BTT,AKP,0
4W,BTT,CXF,0
4W,CEM,IRC,0
4W,CIK,FAI,0
4W,CIK,FYU,0
4W,FAI,BTT,0
4W,FAI,CEM,0
4W,FAI,CIK,0
4W,FAI,FYU,0
4W,FAI,MLY,0
4W,FAI,RMP,0
4W,FAI,SVS,0
4W,FAI,TAL,0
4W,FAI,WBQ,0
4W,FYU,CIK,0
4W,FYU,FAI,0
4W,IRC,FAI,0
4W,MLY,MNT,0
4W,MNT,FAI,0
4W,RMP,FAI,0
4W,SVS,FAI,0
4W,SVS,WBQ,0
4W,TAL,FAI,0
4W,WBQ,FAI,0
4W,WBQ,SVS,0
4Y,AKI,TLT,0
4Y,ATT,KUK,0
4Y,BET,ATT,0
4Y,BET,EEK,0
4Y,BET,GNU,0
4Y,BET,KPN,0
4Y,BET,KWN,0
4Y,BET,KWT,0
4Y,BET,MLL,0
4Y,BET,NME,0
4Y,BET,WNA,0
4Y,BET,WTL,0
4Y,CYF,BET,0
4Y,EEK,BET,0
4Y,EEK,KWN,0
4Y,GNU,PTU,0
4Y,KKH,KWK,0
4Y,KKI,AKI,0
4Y,KPN,CYF,0
4Y,KUK,NUP,0
4Y,KWK,BET,0
4Y,KWN,BET,0
4Y,KWN,EEK,0
4Y,KWT,KKI,0
4Y,MLL,PQS,0
4Y,NME,OOK,0
4Y,NUP,BET,0
4Y,OOK,TNK,0
4Y,PKA,BET,0
4Y,PQS,BET,0
4Y,PTU,BET,0
4Y,TLT,BET,0
4Y,TNK,WWT,0
4Y,WNA,PKA,0
4Y,WTL,KKH,0
4Y,WWT,BET,0
7H,ABL,OTZ,0
7H,ABL,SHG,0
7H,ADQ,ANC,0
7H,AIN,ATK,0
7H,AIN,BRW,0
7H,AKI,KKI,0
7H,ANC,ADQ,0
7H,ANC,ANI,0
7H,ANC,BET,0
7H,ANC,CDV,0
7H,ANC,ENA,0
7H,ANC,FAI,0
7H,ANC,HOM,0
7H,ANC,KSM,0
7H,ANC,UNK,0
7H,ANC,VDZ,0
7H,ANI,ANC,0
7H,ANI,CHU,0
7H,ANI,HCR,0
7H,ANI,KLG,0
7H,ANI,RSH,0
7H,ANI,SHX,0
7H,ANV,HCR,0
7H,ANV,KGX,0
7H,ATK,AIN,0
7H,ATK,BRW,0
7H,ATT,BET,0
7H,AUK,EMK,0
7H,AUK,SXP,0
7H,BET,ANC,0
7H,BET,CYF,0
7H,BET,HPB,0
7H,BET,KKH,0
7H,BET,KLG,0
7H,BET,KUK,0
7H,BET,KWK,0
7H,BET,OOK,0
7H,BET,PQS,0
7H,BET,TLT,0
7H,BET,VAK,0
7H,BKC,DRG,0
7H,BKC,OTZ,0
7H,BRW,AIN,0
7H,BRW,ATK,0
7H,BRW,NUI,0
7H,BRW,PIZ,0
7H,BTI,FYU,0
7H,BTI,SCC,0
7H,CDV,ANC,0
7H,CHU,CKD,0
7H,CKD,RDV,0
7H,CKD,SLQ,0
7H,CYF,KPN,0
7H,DRG,BKC,0
7H,DRG,OTZ,0
7H,ELI,KKA,0
7H,ELI,OME,0
7H,EMK,AUK,0
7H,EMK,KOT,0
7H,ENA,ANC,0
7H,FAI,ANC,0
7H,FAI,GAL,0
7H,FAI,RBY,0
7H,FAI,SCC,0
7H,FYU,BTI,0
7H,GAL,FAI,0
7H,GAL,HSL,0
7H,GAL,KAL,0
7H,GAL,NUL,0
7H,GAL,RBY,0
7H,GAM,OME,0
7H,GAM,SVA,0
7H,GLV,OME,0
7H,GLV,WMO,0
7H,HCR,ANI,0
7H,HCR,ANV,0
7H,HOM,ANC,0
7H,HPB,SCM,0
7H,HPB,VAK,0
7H,HSL,GAL,0
7H,HSL,KYU,0
7H,IAN,ORV,0
7H,IAN,OTZ,0
7H,KAL,GAL,0
7H,KAL,NUL,0
7H,KGX,ANV,0
7H,KGX,SHX,0
7H,KKA,ELI,0
7H,KKA,SKK,0
7H,KKA,UNK,0
7H,KKH,BET,0
7H,KKI,KWT,0
7H,KLG,ANI,0
7H,KLG,BET,0
7H,KLG,RSH,0
7H,KOT,EMK,0
7H,KOT,KSM,0
7H,KOT,WBB,0
