id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,he_ident
249330,6807,05AK,2000,100,TURF-GRVL,0,0,01,19
251184,7977,16A,2420,75,GRVL-G,1,0,18,36
251185,7977,16A,3000,300,WATER,0,0,NE,SW
257676,8638,1RL,2265,125,TURF-E,0,0,16,34
257164,9819,2U7,4300,150,TURF-DIRT-G,0,0,17,35
251667,9850,2WA3,1560,50,DIRT,0,0,09,27
256843,10309,38WA,2200,40,ASPH,1,0,01,19
257666,11318,4A2,3000,75,GRAVEL-G,1,0,15,33
252706,11485,4K0,3002,60,GRVL-G,1,0,09,27
256206,11487,4K5,3300,80,GRVL-G,1,0,08,26
248096,11488,4KA,1778,30,GRVL-P,1,0,08,26
252364,11900,51Z,2000,65,GRVL-G,0,0,01,19
258105,12243,5A8,2030,60,GRVL-DIRT-F,0,0,15,33
249695,13634,6Y8,2512,30,ASPH-G,0,0,09,27
249696,13634,6Y8,3500,140,TURF-F,0,0,17,35
255080,13997,78WA,1600,100,TURF-GRVL,1,0,17,35
246612,14173,7KA,3701,75,GRVL-E,1,0,13,31
246613,14173,7KA,8000,4000,WATER,0,0,13W,31W
253662,14453,7WA5,2000,55,TURF,0,0,09,27
257341,14820,89D,2202,50,ASPH-P,1,0,09,27
257342,14820,89D,2270,35,ASPH-F,1,0,18,36
240593,14843,89TE,6501,100,ASPH,1,0,07,25
246961,15300,90WA,2700,300,TURF,0,0,14,32
270804,15640,9A3,3401,60,GRVL-E,1,0,9,27
246475,16082,A61,3005,75,GRAVEL-G,1,0,02,20
257223,16083,A63,3000,60,GRAVEL-G,1,0,18,36
252638,16089,A79,2800,60,GRVL-F,0,0,08,26
255337,16716,CJX,1997,60,GRVL-DIRT-P,0,0,13,31
248925,16718,CKX,2500,60,GRAVEL-G,0,0,13,31
255106,17597,GNU,2835,80,GRVL-F,0,0,05,23
244776,18945,K61B,5103,75,ASP,1,0,09,27
244777,18945,K61B,2200,60,ASP,0,1,09L,27R
244778,18945,K61B,3852,75,ASP,1,0,15,33
245553,19030,K74S,3018,60,ASP,1,0,18,36
240632,3356,KABE,7599,150,ASP,1,0,06,24
240633,3356,KABE,5800,150,ASP,1,0,13,31
243999,3357,KABI,3678,100,ASP,1,0,04,22
244001,3357,KABI,7198,150,ASP,1,0,17L,35R
244000,3357,KABI,7208,150,ASP,1,0,17R,35L
